Symbol,Weighting,SPX,
AMZN,XLY,1,
TSLA,XLY,1,
HD,XLY,1,
MCD,XLY,1,
LOW,XLY,1,
BKNG,XLY,1,
NKE,XLY,1,
TJX,XLY,1,
SBUX,XLY,1,
CMG,XLY,1,
ABNB,XLY,1,
ORLY,XLY,1,
MAR,XLY,1,
AZO,XLY,1,
GM,XLY,1,
LULU,XLY,1,
HLT,XLY,1,
ROST,XLY,1,
F,XLY,1,
DHI,XLY,1,
LEN,XLY,1,
YUM,XLY,1,
RCL,XLY,1,
TSCO,XLY,1,
ULTA,XLY,1,
EBAY,XLY,1,
NVR,XLY,1,
PHM,XLY,1,
APTV,XLY,1,
GRMN,XLY,1,
GPC,XLY,1,
DRI,XLY,1,
LVS,XLY,1,
EXPE,XLY,1,
CCL,XLY,1,
POOL,XLY,1,
DPZ,XLY,1,
BBY,XLY,1,
LKQ,XLY,1,
KMX,XLY,1,
MGM,XLY,1,
TPR,XLY,1,
BBWI,XLY,1,
WYNN,XLY,1,
CZR,XLY,1,
NCLH,XLY,1,
ETSY,XLY,1,
BWA,XLY,1,
RL,XLY,1,
HAS,XLY,1,
MHK,XLY,1,
WHR,XLY,1,
VFC,XLY,1,
LLY,XLV,1,
UNH,XLV,1,
JNJ,XLV,1,
ABBV,XLV,1,
MRK,XLV,1,
TMO,XLV,1,
ABT,XLV,1,
DHR,XLV,1,
PFE,XLV,1,
AMGN,XLV,1,
ISRG,XLV,1,
SYK,XLV,1,
ELV,XLV,1,
MDT,XLV,1,
BMY,XLV,1,
VRTX,XLV,1,
REGN,XLV,1,
CI,XLV,1,
BSX,XLV,1,
CVS,XLV,1,
GILD,XLV,1,
ZTS,XLV,1,
MCK,XLV,1,
BDX,XLV,1,
HCA,XLV,1,
EW,XLV,1,
DXCM,XLV,1,
IQV,XLV,1,
IDXX,XLV,1,
A,XLV,1,
CNC,XLV,1,
HUM,XLV,1,
COR,XLV,1,
GEHC,XLV,1,
MRNA,XLV,1,
BIIB,XLV,1,
MTD,XLV,1,
CAH,XLV,1,
RMD,XLV,1,
ZBH,XLV,1,
WST,XLV,1,
STE,XLV,1,
MOH,XLV,1,
ALGN,XLV,1,
BAX,XLV,1,
ILMN,XLV,1,
WAT,XLV,1,
COO,XLV,1,
HOLX,XLV,1,
LH,XLV,1,
VTRS,XLV,1,
DGX,XLV,1,
RVTY,XLV,1,
CRL,XLV,1,
PODD,XLV,1,
TECH,XLV,1,
INCY,XLV,1,
UHS,XLV,1,
CTLT,XLV,1,
TFX,XLV,1,
HSIC,XLV,1,
DVA,XLV,1,
XRAY,XLV,1,
BIO,XLV,1,
MSFT,XLK,1,
AAPL,XLK,1,
NVDA,XLK,1,
AVGO,XLK,1,
AMD,XLK,1,
CRM,XLK,1,
ADBE,XLK,1,
ACN,XLK,1,
CSCO,XLK,1,
QCOM,XLK,1,
INTC,XLK,1,
INTU,XLK,1,
ORCL,XLK,1,
IBM,XLK,1,
AMAT,XLK,1,
TXN,XLK,1,
NOW,XLK,1,
LRCX,XLK,1,
MU,XLK,1,
ADI,XLK,1,
KLAC,XLK,1,
SNPS,XLK,1,
PANW,XLK,1,
CDNS,XLK,1,
ANET,XLK,1,
APH,XLK,1,
NXPI,XLK,1,
ROP,XLK,1,
MSI,XLK,1,
ADSK,XLK,1,
MCHP,XLK,1,
FTNT,XLK,1,
TEL,XLK,1,
CTSH,XLK,1,
IT,XLK,1,
MPWR,XLK,1,
ON,XLK,1,
CDW,XLK,1,
FICO,XLK,1,
ANSS,XLK,1,
KEYS,XLK,1,
HPQ,XLK,1,
GLW,XLK,1,
HPE,XLK,1,
PTC,XLK,1,
NTAP,XLK,1,
WDC,XLK,1,
JBL,XLK,1,
TDY,XLK,1,
STX,XLK,1,
EPAM,XLK,1,
TYL,XLK,1,
ENPH,XLK,1,
FSLR,XLK,1,
SWKS,XLK,1,
VRSN,XLK,1,
AKAM,XLK,1,
TER,XLK,1,
TRMB,XLK,1,
ZBRA,XLK,1,
GEN,XLK,1,
FFIV,XLK,1,
JNPR,XLK,1,
QRVO,XLK,1,
LIN,XLB,1,
SHW,XLB,1,
FCX,XLB,1,
ECL,XLB,1,
APD,XLB,1,
NUE,XLB,1,
DOW,XLB,1,
CTVA,XLB,1,
MLM,XLB,1,
NEM,XLB,1,
VMC,XLB,1,
PPG,XLB,1,
DD,XLB,1,
LYB,XLB,1,
BALL,XLB,1,
IFF,XLB,1,
STLD,XLB,1,
AVY,XLB,1,
PKG,XLB,1,
CF,XLB,1,
CE,XLB,1,
ALB,XLB,1,
AMCR,XLB,1,
IP,XLB,1,
WRK,XLB,1,
EMN,XLB,1,
MOS,XLB,1,
FMC,XLB,1,
META,XLC,1,
GOOGL,XLC,1,
GOOG,XLC,1,
NFLX,XLC,1,
DIS,XLC,1,
TMUS,XLC,1,
VZ,XLC,1,
T,XLC,1,
CMCSA,XLC,1,
EA,XLC,1,
CHTR,XLC,1,
TTWO,XLC,1,
WBD,XLC,1,
OMC,XLC,1,
LYV,XLC,1,
IPG,XLC,1,
NWSA,XLC,1,
MTCH,XLC,1,
FOXA,XLC,1,
PARA,XLC,1,
FOX,XLC,1,
NWS,XLC,1,
XOM,XLE,1,
CVX,XLE,1,
COP,XLE,1,
EOG,XLE,1,
MPC,XLE,1,
SLB,XLE,1,
PSX,XLE,1,
PXD,XLE,1,
VLO,XLE,1,
OKE,XLE,1,
WMB,XLE,1,
HES,XLE,1,
OXY,XLE,1,
KMI,XLE,1,
FANG,XLE,1,
HAL,XLE,1,
BKR,XLE,1,
DVN,XLE,1,
TRGP,XLE,1,
CTRA,XLE,1,
MRO,XLE,1,
EQT,XLE,1,
APA,XLE,1,
BRK.B,XLF,1,
JPM,XLF,1,
V,XLF,1,
MA,XLF,1,
BAC,XLF,1,
WFC,XLF,1,
SPGI,XLF,1,
AXP,XLF,1,
GS,XLF,1,
BLK,XLF,1,
PGR,XLF,1,
MS,XLF,1,
C,XLF,1,
CB,XLF,1,
MMC,XLF,1,
SCHW,XLF,1,
FI,XLF,1,
BX,XLF,1,
ICE,XLF,1,
CME,XLF,1,
USB,XLF,1,
PYPL,XLF,1,
AON,XLF,1,
MCO,XLF,1,
PNC,XLF,1,
AJG,XLF,1,
COF,XLF,1,
AIG,XLF,1,
TRV,XLF,1,
TFC,XLF,1,
MET,XLF,1,
MSCI,XLF,1,
AFL,XLF,1,
BK,XLF,1,
FIS,XLF,1,
AMP,XLF,1,
ALL,XLF,1,
PRU,XLF,1,
GPN,XLF,1,
ACGL,XLF,1,
DFS,XLF,1,
HIG,XLF,1,
WTW,XLF,1,
TROW,XLF,1,
FITB,XLF,1,
MTB,XLF,1,
RJF,XLF,1,
STT,XLF,1,
FLT,XLF,1,
BRO,XLF,1,
NDAQ,XLF,1,
CBOE,XLF,1,
HBAN,XLF,1,
RF,XLF,1,
CINF,XLF,1,
FDS,XLF,1,
PFG,XLF,1,
WRB,XLF,1,
SYF,XLF,1,
NTRS,XLF,1,
EG,XLF,1,
CFG,XLF,1,
KEY,XLF,1,
L,XLF,1,
JKHY,XLF,1,
GL,XLF,1,
AIZ,XLF,1,
SSIXX,XLF,1,
BEN,XLF,1,
MKTX,XLF,1,
IVZ,XLF,1,
CMA,XLF,1,
ZION,XLF,1,
GE,XLI,1,
CAT,XLI,1,
UBER,XLI,1,
UNP,XLI,1,
HON,XLI,1,
RTX,XLI,1,
ETN,XLI,1,
BA,XLI,1,
UPS,XLI,1,
DE,XLI,1,
ADP,XLI,1,
LMT,XLI,1,
WM,XLI,1,
CSX,XLI,1,
ITW,XLI,1,
PH,XLI,1,
TT,XLI,1,
NOC,XLI,1,
TDG,XLI,1,
EMR,XLI,1,
GD,XLI,1,
PCAR,XLI,1,
NSC,XLI,1,
FDX,XLI,1,
CTAS,XLI,1,
MMM,XLI,1,
CARR,XLI,1,
CPRT,XLI,1,
URI,XLI,1,
FAST,XLI,1,
GWW,XLI,1,
AME,XLI,1,
JCI,XLI,1,
LHX,XLI,1,
OTIS,XLI,1,
PAYX,XLI,1,
CMI,XLI,1,
ODFL,XLI,1,
RSG,XLI,1,
IR,XLI,1,
PWR,XLI,1,
VRSK,XLI,1,
ROK,XLI,1,
EFX,XLI,1,
XYL,XLI,1,
FTV,XLI,1,
DAL,XLI,1,
HWM,XLI,1,
WAB,XLI,1,
BLDR,XLI,1,
BR,XLI,1,
DOV,XLI,1,
AXON,XLI,1,
HUBB,XLI,1,
LUV,XLI,1,
VLTO,XLI,1,
J,XLI,1,
TXT,XLI,1,
IEX,XLI,1,
LDOS,XLI,1,
EXPD,XLI,1,
MAS,XLI,1,
JBHT,XLI,1,
SNA,XLI,1,
NDSN,XLI,1,
UAL,XLI,1,
SWK,XLI,1,
PNR,XLI,1,
ROL,XLI,1,
HII,XLI,1,
ALLE,XLI,1,
DAY,XLI,1,
AOS,XLI,1,
AAL,XLI,1,
PAYC,XLI,1,
RHI,XLI,1,
CHRW,XLI,1,
GNRC,XLI,1,
PG,XLP,1,
COST,XLP,1,
KO,XLP,1,
PEP,XLP,1,
WMT,XLP,1,
PM,XLP,1,
MDLZ,XLP,1,
TGT,XLP,1,
MO,XLP,1,
CL,XLP,1,
MNST,XLP,1,
KMB,XLP,1,
STZ,XLP,1,
SYY,XLP,1,
GIS,XLP,1,
KR,XLP,1,
EL,XLP,1,
DG,XLP,1,
KVUE,XLP,1,
DLTR,XLP,1,
KDP,XLP,1,
HSY,XLP,1,
ADM,XLP,1,
KHC,XLP,1,
CHD,XLP,1,
CLX,XLP,1,
MKC,XLP,1,
TSN,XLP,1,
WBA,XLP,1,
LW,XLP,1,
K,XLP,1,
CAG,XLP,1,
BG,XLP,1,
SJM,XLP,1,
TAP,XLP,1,
BF.B,XLP,1,
HRL,XLP,1,
CPB,XLP,1,
PLD,XLRE,1,
AMT,XLRE,1,
EQIX,XLRE,1,
WELL,XLRE,1,
SPG,XLRE,1,
CCI,XLRE,1,
PSA,XLRE,1,
DLR,XLRE,1,
O,XLRE,1,
CSGP,XLRE,1,
EXR,XLRE,1,
VICI,XLRE,1,
CBRE,XLRE,1,
AVB,XLRE,1,
WY,XLRE,1,
SBAC,XLRE,1,
IRM,XLRE,1,
EQR,XLRE,1,
INVH,XLRE,1,
ARE,XLRE,1,
VTR,XLRE,1,
ESS,XLRE,1,
MAA,XLRE,1,
HST,XLRE,1,
KIM,XLRE,1,
DOC,XLRE,1,
UDR,XLRE,1,
CPT,XLRE,1,
REG,XLRE,1,
BXP,XLRE,1,
